id,name,calories,proteins,fat,carbohydrate,status,alasan,saran_porsi
307,Daun Talas Segar,59.0,3.0,0.4,13.5,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
308,Daun Tales,71.0,4.1,2.1,12.3,BISA,lemak 2.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
309,Daun Tales Rebus,27.0,1.3,0.2,5.9,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
310,Daun Tespong Segar,70.0,2.9,0.3,13.9,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
311,Daun Ubi Jalar,47.0,2.8,0.4,10.4,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
312,Daun Ubi Jalar Kukus,56.0,3.1,0.3,13.0,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
313,Daun Ubi Kuning Segar,62.0,3.7,0.3,11.1,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
314,Daun Ubi Merah Kukus,56.0,3.1,0.3,13.0,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
315,Daun Ubi Merah Segar,48.0,3.0,0.3,10.8,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
316,Daun Ubi Putih Segar,46.0,2.8,0.2,8.2,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
317,Daun Ubi Tinta Segar,55.0,1.7,0.1,11.9,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
318,Deblo,260.0,2.0,15.0,53.0,NETRAL,lemak 15.0g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
319,Dendeng Belut Goreng,382.0,55.7,14.1,8.0,NETRAL,lemak 14.1g (zona netral 10–18g); protein 55.7g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
320,Dendeng Daging Sapi,433.0,55.0,9.0,0.0,NETRAL,lemak 9.0g (di bawah batas 10g); kalori 433.0 kkal cukup tinggi untuk kondisi ini; protein 55.0g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
321,Dendeng Mujahir Goreng,598.0,74.3,26.9,9.2,TIDAK_BISA,lemak 26.9g (melebihi batas 25g); kalori 598.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
322,Dideh Darah Ayam,77.0,13.8,1.9,0.7,BISA,lemak 1.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
323,Dideh Darah Sapi,104.0,21.9,1.1,0.0,BISA,lemak 1.1g (di bawah batas 10g); protein 21.9g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
324,Djibokum Masakan,248.0,10.0,2.3,40.9,BISA,lemak 2.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
325,Dodol,395.0,3.0,5.7,81.2,BISA,lemak 5.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
326,Dodol Bali,298.0,3.7,2.1,65.9,BISA,lemak 2.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
327,Dodol Banjarmasin,368.0,2.6,8.6,70.0,BISA,lemak 8.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
328,Dodol Galamai,348.0,0.4,3.8,76.1,BISA,lemak 3.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
329,Dodol Kedondong,331.0,1.9,7.6,63.8,BISA,lemak 7.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
330,Dodol Manado,373.0,4.3,16.5,51.9,NETRAL,lemak 16.5g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
331,Dodonkol,17.5,3.3,2.3,39.5,BISA,lemak 2.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
332,Domba Daging Gemuk Segar,317.0,15.7,27.7,0.0,TIDAK_BISA,lemak 27.7g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
333,Domba Daging Kurus  Segar,202.0,17.1,14.8,0.0,NETRAL,lemak 14.8g (zona netral 10–18g); protein 17.1g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
334,Domba Ginjal Segar,100.0,16.6,3.3,1.0,BISA,lemak 3.3g (di bawah batas 10g); protein 16.6g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
335,Duku,63.0,1.0,0.2,16.1,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
336,Durian,134.0,2.5,3.0,28.0,BISA,lemak 3.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
337,Duwet Segar,80.0,0.5,0.6,18.2,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
338,Eceng Gondok,18.0,1.0,0.2,3.8,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
339,Embacang,98.0,1.4,0.2,25.4,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
340,Empal (Daging) Goreng Masakan,248.0,36.2,6.9,10.1,BISA,lemak 6.9g (di bawah batas 10g); protein 36.2g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
341,Empal Goreng,590.0,18.5,57.0,0.0,TIDAK_BISA,lemak 57.0g (melebihi batas 25g); kalori 590.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
342,Emping (Kerupuk Melinjo),345.0,12.0,1.5,71.5,BISA,lemak 1.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
343,Emping Beras,403.0,10.6,2.2,85.3,NETRAL,lemak 2.2g (di bawah batas 10g); kalori 403.0 kkal cukup tinggi untuk kondisi ini,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
344,Emping Komak,355.0,17.8,4.6,60.7,BISA,lemak 4.6g (di bawah batas 10g); protein 17.8g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
345,Encung Asam Segar,122.0,3.5,4.5,17.5,BISA,lemak 4.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
346,Enting-Enting Gepuk Hello Kity,538.0,13.6,30.3,52.6,TIDAK_BISA,lemak 30.3g (melebihi batas 25g); kalori 538.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
347,Enting-Enting Gepuk Kacang Tanah,524.0,13.3,29.2,52.0,TIDAK_BISA,lemak 29.2g (melebihi batas 25g); kalori 524.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
348,Enting-Enting Wijen,565.0,18.2,38.4,36.8,TIDAK_BISA,lemak 38.4g (melebihi batas 25g); kalori 565.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
349,Erbis,70.0,0.6,0.0,18.9,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
350,Es Krim,210.0,4.0,12.5,20.6,NETRAL,lemak 12.5g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
351,Es Krim (Coconut Milk),156.7,3.0,1.7,32.7,BISA,lemak 1.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
352,Es Mambo,152.0,0.0,0.0,37.6,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
353,Es Sirup,44.8,0.0,0.0,11.3,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
354,Fillet O-Fish,270.0,12.3,15.9,19.3,NETRAL,lemak 15.9g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
355,Gadeng/Gadung Kering,322.0,2.4,0.6,76.6,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
356,Gado-Gado,137.0,6.1,3.2,21.0,BISA,lemak 3.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
357,Gadung Kukus,88.0,0.8,0.3,20.9,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
358,Gadung Mentah,101.0,2.1,0.2,23.2,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
359,Gadung Ubi Kukus,88.0,0.6,0.3,20.9,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
360,Gadung Ubi Segar,100.0,0.9,0.3,23.5,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
361,Gambas (Oyong),18.0,0.8,0.2,4.1,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
362,Gambas Lodeh,13.0,0.3,0.6,1.6,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
363,Gandaria,68.0,0.7,0.1,18.0,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
364,Ganyong Kukus,100.0,0.8,0.2,23.8,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
365,Ganyong Mentah,95.0,1.0,0.1,22.6,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
366,Ganyong Rebus,100.0,0.8,0.2,23.8,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
367,Ganyong Segar,77.0,0.6,0.2,18.4,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
368,Gaplek,338.0,1.5,0.7,81.3,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
369,Gatep Segar,191.0,4.5,1.5,39.7,BISA,lemak 1.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
370,Gatot,347.0,1.3,0.7,83.8,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
371,Geblek,195.0,0.4,1.7,44.4,BISA,lemak 1.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
372,Gelatine,389.0,0.0,0.0,91.0,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
373,Gembili,95.0,1.5,0.1,22.4,BISA,lemak 0.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
374,Gembili Ubi Segar,131.0,1.1,0.2,31.3,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
375,Gemblong,274.0,1.7,5.4,55.5,BISA,lemak 5.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
376,Gendar Goreng,407.0,6.4,28.2,32.0,TIDAK_BISA,lemak 28.2g (melebihi batas 25g); kalori 407.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
377,Genjer Segar,35.0,1.7,0.2,7.7,BISA,lemak 0.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
378,Geplak,350.0,1.4,14.4,53.6,NETRAL,lemak 14.4g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
379,Geplak Jahe,462.0,3.1,24.4,57.7,LIMIT,"lemak 24.4g (perlu dibatasi, batas aman 18g); kalori 462.0 kkal cukup tinggi untuk kondisi ini","Batasi 1-2x per minggu, porsi sangat kecil (≤50g). Pilih metode masak rendah minyak."
380,Gete Kuah Asam Masakan,75.0,8.2,2.0,6.0,BISA,lemak 2.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
381,Getuk Goreng,360.0,1.3,6.4,74.3,BISA,lemak 6.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
382,Getuk Lindri,171.4,4.0,4.0,32.0,BISA,lemak 4.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
383,Getuk Pisang,144.0,1.1,0.4,34.1,BISA,lemak 0.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
384,Getuk Singkong,204.0,0.5,1.4,47.4,BISA,lemak 1.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
385,Ginjal Babi,114.0,16.3,4.6,0.8,BISA,lemak 4.6g (di bawah batas 10g); protein 16.3g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
386,Ginjal Domba,105.0,16.6,3.3,1.0,BISA,lemak 3.3g (di bawah batas 10g); protein 16.6g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
387,Ginjal Sapi,141.0,15.0,8.1,0.9,BISA,lemak 8.1g (di bawah batas 10g); protein 15.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
388,Gudeg,53.0,1.6,1.6,8.8,BISA,lemak 1.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
389,Gudeg Sayur,160.0,3.3,9.2,16.0,BISA,lemak 9.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
390,Gula Aren,368.0,0.0,0.0,95.0,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
391,Gula Kelapa,386.0,3.0,10.0,76.0,BISA,lemak 10.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
392,Gula Merah Tebu Belum Dimurnikan,356.0,0.4,0.5,90.6,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
393,Gula Putih,394.0,0.0,0.0,94.0,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
394,Gulai Asam Keueung Masakan,52.0,10.0,0.5,1.8,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
395,Gulai Ikan Masakan,106.0,16.5,3.3,2.5,BISA,lemak 3.3g (di bawah batas 10g); protein 16.5g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
396,Gulai Ikan Paya Masakan,148.0,10.0,9.8,5.0,BISA,lemak 9.8g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
397,Gulai Kambing,126.0,4.2,9.4,6.2,BISA,lemak 9.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
398,Gulai Keumamah Masakan,110.0,5.9,8.2,3.2,BISA,lemak 8.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
399,Gulai Pakis,143.0,4.0,11.4,6.0,NETRAL,lemak 11.4g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
400,Gulai Pliek,176.0,7.3,14.9,3.2,NETRAL,lemak 14.9g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
401,Gulai Tiram Masakan,132.0,9.0,7.2,7.8,BISA,lemak 7.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
402,Gurame Asem Manis Masakan,192.0,12.7,10.1,12.7,NETRAL,lemak 10.1g (zona netral 10–18g),"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
403,Gurandil,218.0,0.5,2.5,48.5,BISA,lemak 2.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
404,Ham,389.0,16.9,35.0,0.3,TIDAK_BISA,lemak 35.0g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
405,Hangop,65.0,10.0,1.0,3.5,BISA,lemak 1.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
406,Hati Babi,134.0,19.7,4.8,1.7,BISA,lemak 4.8g (di bawah batas 10g); protein 19.7g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
407,Hati Sapi,136.0,19.7,3.2,6.0,BISA,lemak 3.2g (di bawah batas 10g); protein 19.7g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
408,Havermout,390.0,14.2,7.4,68.2,BISA,lemak 7.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
409,Hofa/Ubi Hutan Segar,127.0,1.2,0.5,29.5,BISA,lemak 0.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
410,Ikan Asar Merah Masakan,146.0,17.7,5.9,5.6,BISA,lemak 5.9g (di bawah batas 10g); protein 17.7g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
411,Ikan Asin Bilis Goreng,380.0,33.6,27.5,0.0,TIDAK_BISA,lemak 27.5g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
412,Ikan Asin Gabus Goreng,456.0,46.5,24.4,0.0,NETRAL,"lemak 24.4g (perlu dibatasi, batas aman 18g); kalori 456.0 kkal cukup tinggi untuk kondisi ini; protein 46.5g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
413,Ikan Asin Japuh Goreng,348.0,18.7,29.5,0.0,TIDAK_BISA,lemak 29.5g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
414,Ikan Asin Kering,193.0,42.0,1.5,0.0,BISA,lemak 1.5g (di bawah batas 10g); protein 42.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
415,Ikan Asin Pari Goreng,430.0,58.2,23.6,0.0,NETRAL,"lemak 23.6g (perlu dibatasi, batas aman 18g); kalori 430.0 kkal cukup tinggi untuk kondisi ini; protein 58.2g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
416,Ikan Asin Pepetek Goreng,652.0,40.4,54.3,0.0,TIDAK_BISA,lemak 54.3g (melebihi batas 25g); kalori 652.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
417,Ikan Asin Sirinding Goreng,319.0,6.9,31.7,0.0,TIDAK_BISA,lemak 31.7g (melebihi batas 25g),Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
418,Ikan Asin Teri Goreng,430.0,33.4,32.4,0.0,TIDAK_BISA,lemak 32.4g (melebihi batas 25g); kalori 430.0 kkal cukup tinggi untuk kondisi ini,Hindari. Konsultasikan dengan ahli gizi untuk alternatif.
419,Ikan Bader (Tawes),198.0,19.0,13.0,0.0,NETRAL,lemak 13.0g (zona netral 10–18g); protein 19.0g cukup tinggi membantu offset lemak,"Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
420,Ikan Balong Segar,107.0,16.5,3.9,1.5,BISA,lemak 3.9g (di bawah batas 10g); protein 16.5g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
421,Ikan Bambangan Segar,112.0,20.0,1.3,3.7,BISA,lemak 1.3g (di bawah batas 10g); protein 20.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
422,Ikan Bandeng,129.0,20.0,4.8,0.0,BISA,lemak 4.8g (di bawah batas 10g); protein 20.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
423,Ikan Bandeng Presto Masakan,296.0,17.1,20.3,11.3,NETRAL,"lemak 20.3g (perlu dibatasi, batas aman 18g); protein 17.1g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
424,Ikan Banjar Segar,111.0,19.4,0.9,4.8,BISA,lemak 0.9g (di bawah batas 10g); protein 19.4g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
425,Ikan Baronang Segar,78.0,14.5,0.6,3.7,BISA,lemak 0.6g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
426,Ikan Baung Bakar,144.0,17.8,5.8,5.2,BISA,lemak 5.8g (di bawah batas 10g); protein 17.8g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
427,Ikan Baung Segar,123.0,15.1,5.5,3.3,BISA,lemak 5.5g (di bawah batas 10g); protein 15.1g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
428,Ikan Bawal,96.0,19.0,1.7,0.0,BISA,lemak 1.7g (di bawah batas 10g); protein 19.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
429,Ikan Bekasang,138.0,14.0,0.7,7.4,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
430,Ikan Belida Bakar,128.0,18.0,3.0,7.2,BISA,lemak 3.0g (di bawah batas 10g); protein 18.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
431,Ikan Belida Segar,80.0,14.7,1.4,2.2,BISA,lemak 1.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
432,Ikan Belut Segar Goreng,417.0,25.9,19.4,32.0,NETRAL,"lemak 19.4g (perlu dibatasi, batas aman 18g); kalori 417.0 kkal cukup tinggi untuk kondisi ini; protein 25.9g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
433,Ikan Belut Segar Mentah,82.0,6.7,1.0,10.9,BISA,lemak 1.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
434,Ikan Beunteur,66.0,14.0,0.0,0.0,BISA,lemak 0.0g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
435,Ikan Biawan Segar,90.0,14.9,2.5,2.1,BISA,lemak 2.5g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
436,Ikan Bili Segar,88.0,14.2,0.7,6.2,BISA,lemak 0.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
437,Ikan Bubara Segar,100.0,14.7,2.4,4.9,BISA,lemak 2.4g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
438,Ikan Bulan-Bulan Segar,134.0,25.5,1.3,5.0,BISA,lemak 1.3g (di bawah batas 10g); protein 25.5g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
439,Ikan Cakalang Asap Mentah,204.0,34.2,5.6,1.9,BISA,lemak 5.6g (di bawah batas 10g); protein 34.2g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
440,Ikan Cakalang Asin Mentah,198.0,36.5,2.2,5.5,BISA,lemak 2.2g (di bawah batas 10g); protein 36.5g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
441,Ikan Cakalang Hati Segar,120.0,11.3,3.9,10.0,BISA,lemak 3.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
442,Ikan Cakalang Jantung Segar,116.0,11.2,1.2,10.2,BISA,lemak 1.2g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
443,Ikan Cakalang Perut Segar,86.0,10.2,1.1,8.7,BISA,lemak 1.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
444,Ikan Cakalang Segar,107.0,19.6,0.7,5.5,BISA,lemak 0.7g (di bawah batas 10g); protein 19.6g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
445,Ikan Calo/ Peda Mentah,81.0,11.4,1.9,3.8,BISA,lemak 1.9g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
446,Ikan Daun Segar,101.0,11.5,4.1,4.6,BISA,lemak 4.1g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
447,Ikan Ekor Kuning,109.0,17.0,4.0,0.0,BISA,lemak 4.0g (di bawah batas 10g); protein 17.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
448,Ikan Gabus Asap Mentah,261.0,38.1,2.3,21.9,BISA,lemak 2.3g (di bawah batas 10g); protein 38.1g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
449,Ikan Gabus Kering,292.0,58.0,4.0,0.0,BISA,lemak 4.0g (di bawah batas 10g); protein 58.0g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
450,Ikan Gabus Segar,74.0,25.2,1.7,0.0,BISA,lemak 1.7g (di bawah batas 10g); protein 25.2g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
451,Ikan Gete Goreng,267.0,23.1,19.4,0.2,NETRAL,"lemak 19.4g (perlu dibatasi, batas aman 18g); protein 23.1g cukup tinggi membantu offset lemak","Konsumsi 1 porsi kecil (50–80g) per hari, tidak setiap hari."
452,Ikan Hitam Segar,101.0,10.3,3.7,6.7,BISA,lemak 3.7g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
453,Ikan Hiu Kering,298.0,46.3,3.6,20.2,BISA,lemak 3.6g (di bawah batas 10g); protein 46.3g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
454,Ikan Hiu Segar,57.0,10.7,0.3,2.2,BISA,lemak 0.3g (di bawah batas 10g),Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
455,Ikan Kacangan Segar,77.0,15.6,0.9,1.6,BISA,lemak 0.9g (di bawah batas 10g); protein 15.6g cukup tinggi membantu offset lemak,Boleh dikonsumsi normal. Tetap perhatikan total porsi harian.
